POPS.ELF Function Map - PS1 Emulator for PS2 (HDD version)
==========================================================================================
Generated by POPS Deep Analysis Tool

ARCHITECTURE OVERVIEW:
  - EE (Emotion Engine) MIPS R5900 binary, EABI64, MIPS-III
  - Entry point: 0x00200008
  - Code: 296KB (.text), 3.5KB VU microcode (.vutext)
  - Data: 2.75MB (.data incl. embedded IOP modules)
  - PS1 emulator with JIT recompiler

EMBEDDED IOP MODULES:
  sio2man, padman_hsync, Sound_Device_Library (libsd),
  sdr_driver, dev9, atad, hdd, pfs, IOPCD


==========================================================================================
 CDROM - 41 functions (0x0020FD18 - 0x00213E50)
==========================================================================================

  0x0023A9B8  ee_kernel_0008                                frame=  80  size=  216  calls= 4
  0x0023AA90  ee_kernel_0009                                frame= 128  size=  104  calls= 5
  0x0023AAF8  ee_kernel_0010                                frame=  16  size=  224  calls= 0
  0x0023ABD8  ee_kernel_0011                                frame=  80  size=  400  calls= 4
  0x0023AD68  ee_kernel_0012                                frame=   0  size=   16  calls= 0
  0x0023AD78  ee_kernel_0013                                frame= 320  size=  160  calls= 4  "rom0:ROMVER"
  0x0023AE18  ee_kernel_0014                                frame=   0  size=   16  calls= 0
  0x0023AE28  ee_kernel_0015                                frame= 144  size=  888  calls= 4
  0x0023B1A0  ee_kernel_0016                                frame=  16  size=  792  calls= 1  "D1_TADR=%08x:"
  0x0023B4B8  ee_kernel_0017                                frame=   0  size=   16  calls= 0
  0x0023B4C8  ee_kernel_0018                                frame=  16  size=  472  calls= 1
  0x0023B6A0  ee_kernel_0019                                frame=  16  size=  320  calls= 0
  0x0023B7E0  ee_kernel_0020                                frame=  16  size=  384  calls= 1
  0x0023B960  ee_kernel_0021                                frame= 144  size= 1680  calls= 3
  0x0023BFF0  ee_kernel_0022                                frame=   0  size=  120  calls= 0
  0x0023C068  ee_kernel_0023                                frame=   0  size= 1688  calls= 0
  0x0023C700  ee_kernel_0024                                frame=   0  size=    4  calls= 0
